user_id,date,exercise,sets,reps,weight_kg,session_duration_hr,calories_burned,avg_bpm,max_bpm,water_intake_l,workout_type,workout_difficulty,workout_category
U1186,2024-01-25,CYCLING,,,,1.0,198.0,156.0,176,1.07,CARDIO,7.0,NW
U0316,2024-01-16,BENCHPRESS,3.0,5.0,,0.56,235.0,90.0,112,0.73,STRENGTH,4.0,WEIGHT
U0614,2024-08-03,CYCLING,,,,1.28,438.0,149.0,163,,CARDIO,10.0,NW
 U0355 ,2024-10-26,SQUAT,4.0,5.0,,0.51,237.0,100.0,120,0.49,STRENGTH,9.0,WEIGHT
U0780,2024-07-02,ROW,,,,0.83,235.0,153.0,177,0.52,CARDIO,5.0,NW
U1027,2024-05-21,SQUAT,5.0,8.0,116.5,0.55,424.0,105.0,129,0.71,STRENGTH,5.0,WEIGHT
U0154,2024-05-07,CYCLING,,,,1.48,,135.0,151,0.99,CARDIO,4.0,NW
U0422,2024-02-21,SQUAT,3.0,8.0,74.1,1.41,271.0,153.0,171,0.68,STRENGTH,5.0,WEIGHT
U0355,2024-03-01,HIIT,,,,0.46,190.0,135.0,147,0.72,HIIT,5.0,NW
U0736,2024-02-14,BENCHPRESS,3.0,8.0,44.6,0.9,177.0,147.0,167,0.93,STRENGTH,7.0,WEIGHT
 U1088 ,2024-12-04,RUNNING,,,,0.43,160.0,152.0,167,0.82,CARDIO,5.0,NW
U1012,2024-09-20,DEADLIFT,4.0,11.0,127.3,1.48,252.0,110.0,130,0.66,STRENGTH,5.0,WEIGHT
U0852,2024-11-02,HIIT,,,,0.79,246.0,133.0,149,1.07,HIIT,4.0,NW
U0097,2024-10-27,YOGA,,,,1.27,347.0,94.0,109,0.38,MOBILITY,4.0,NW
U0438,2024-08-23,DEADLIFT,3.0,10.0,73.1,0.95,305.0,154.0,164,0.9,STRENGTH,4.0,WEIGHT
U1013,2024-10-29,HIIT,,,,0.94,338.0,106.0,127,,HIIT,6.0,NW
U0435,2024-04-24,HIIT,,,,1.12,177.0,148.0,170,1.03,HIIT,5.0,NW
U0899,2024-04-11,SQUAT,4.0,11.0,,0.56,341.0,159.0,180,0.45,STRENGTH,5.0,WEIGHT
U0743,2024-12-07,BENCHPRESS,5.0,8.0,,1.2,417.0,122.0,142,0.45,STRENGTH,7.0,WEIGHT
U0110,2024-03-17,DEADLIFT,3.0,5.0,91.7,1.0,533.0,,108,0.91,STRENGTH,4.0,WEIGHT
U0209,2024-12-11,HIIT,,,,1.1,547.0,,119,1.1,HIIT,3.0,NW
U0828,2024-02-11,HIIT,,,,0.5,166.0,96.0,107,1.02,HIIT,5.0,NW
 U0692 ,2024-08-12,CYCLING,,,,0.35,507.0,147.0,167,0.57,CARDIO,7.0,NW
U0773,2024-10-18,YOGA,,,,0.64,212.0,127.0,137,0.5,MOBILITY,5.0,NW
U0520,2024-08-05,BENCHPRESS,4.0,6.0,46.7,1.08,,103.0,119,0.82,STRENGTH,8.0,WEIGHT
U1052,2024/09/26,SQUAT,5.0,10.0,84.1,1.0,338.0,116.0,139,0.72,STRENGTH,5.0,WEIGHT
U0373,2024-08-10,DEADLIFT,3.0,10.0,79.3,0.72,339.0,128.0,147,1.16,STRENGTH,3.0,WEIGHT
U0359,2024-10-11,BENCHPRESS,3.0,8.0,68.1,1.16,309.0,99.0,119,0.72,STRENGTH,9.0,WEIGHT
U0271,2024-01-23,ROW,,,,1.0,482.0,129.0,153,0.66,CARDIO,5.0,NW
U0707,2024-04-29,RUNNING,,,,0.4,307.0,108.0,130,0.59,CARDIO,6.0,NW
