user_id,age,gender,height_m,weight_kg,experience_level,workout_frequency_days_week,fat_percentage
U0001,47,Male,1.72,75.8,Advanced,2,21.3
U0002,34, Female ,1.42,78.7,Advanced,5,20.0
U0003,40,Male,1.71,75.2,Advanced,5,27.8
U0004,23,Female,1.98,83.1, Beginner ,4,15.6
U0005,39,Male,1.49,78.1,Advanced,2,21.5
 U0006 ,30,Female,,46.0,mid,3,
U0007,25,Female,1.69,91.9,Intermediate,4,22.5
U0008,26,Male,1.54,66.4,B,3,31.8
 U0009 ,53,female,1.62,73.0,Beginner,2,14.6
 U0010 ,37,Male,1.77,92.1,Intermediate,4,15.3
U0011,51,Female,1.82,80.8,Beginner,4,14.1
U0012,35,Female,1.89,70.4,Beginner,4,21.6
U0013,35,Female,1.79,78.9, Advanced ,2,24.5
U0014,18,Male,1.78,72.5, Advanced ,3,8.6
U0015,30,Male,,90.3,Beginner,5,22.3
U0016,50,Male,1.7,87.5,beginner,4,11.3
U0017,18,Female,1.68,94.0,Intermediate,5,24.7
U0018,31,Male,1.62,68.7,Intermediate,2,19.0
U0019,42,Female,1.71,65.5,Beginner,3,
U0020,54,Male,1.67,56.7, beginner ,2,19.6
U0021,45,Female,1.94,62.4,ADV,2,15.5
U0022,53,Female,1.66,66.0,Intermediate,2,24.1
U0023,19,Female,1.79,101.4,Beginner,3,30.8
U0024,21,Male,1.63,62.1,INT,4,10.9
U0025,32,Female,1.68,81.3,Beginner,5,17.6
U0026,55,Male,1.82,70.5,Advanced,4,20.5
U0027,32,Female,1.87,88.6,Beginner,5,24.6
 U0028 ,47,MALE,1.7,79.5, Intermediate ,5,23.6
U0029,24,Male,1.71,95.1,advanced,3,10.3
U0030,53,Female,1.88,77.2,Advanced,4,16.2
U0031,21,Male,1.81,81.8,Beginner,3,18.1
U0032,51,Male,1.73,63.6,Intermediate,5,21.8
U0033,46,Male,1.66,56.0,Intermediate,5,10.9
U0034,21,Female,1.61,79.1,Beginner,4,25.9
U0035,45, Female ,1.86,76.5,expert,2,14.8
U0036,33,female,1.68,76.2,Advanced,5,14.3
U0037,42,Female,1.69,58.1,Intermediate,2,17.7
U0038,23,Female,1.77,52.5,Intermediate,4,24.3
U0039,28,Male,,66.1,Advanced,2,32.4
U0040,19,Male,1.75,80.5, Advanced ,4,19.3
U0041,57, FEMALE ,1.68,,Intermediate,4,28.5
U0042,51,Male,1.77,74.2,Advanced,3,37.3
U0043,47,M,1.65,66.7,Advanced,2,17.1
 U0044 ,20,Female,1.67,65.3,Intermediate,3,33.9
U0045,35,Female,1.69,90.0,Advanced,3,32.5
U0046,32,Male,1.58,70.2,Intermediate,5,
U0047,43, Male ,1.89,68.6,Beginner,3,23.0
 U0048 ,46,MALE,1.62,69.8,Beginner,4,26.5
U0049,43,Male,1.63,93.8,ADV,4,25.1
U0050,31,Male,1.76,61.0,Intermediate,4,57.0
U0051,28,Male,1.78,82.7,Beginner,3,19.2
U0052,33,Male,1.64,76.5,Beginner,3,17.5
U0053,48,Male,,65.5,Beginner,4,16.0
U0054,45, Female ,1.61,84.5,Intermediate,3,9.5
U0055,57,Male,1.58,67.6,Advanced,3,20.6
U0056,19,Female,1.85,63.9,Beginner,2,20.5
U0057,56, Female ,1.74,74.5, Advanced ,3,18.2
 U0058 ,26, Male ,1.78,94.1,Advanced,3,22.5
 U0059 ,50,Male,1.59,78.5,Beginner,3,22.3
U0060,47,Female,1.82,,Intermediate,4,25.6
U0061,35,Female,1.66,61.0,Advanced,4,24.1
U0062,56,Male,1.66,72.8,Advanced,3,
U0063,34,Male,1.78,58.7,Beginner,5,24.8
U0064,18,Male,1.72,68.4,Intermediate,4,
 U0065 ,43,Male,1.76,78.7,Intermediate,3,23.6
U0066,55, Female ,1.79,67.5,Beginner,5,14.9
U0067,26,Female,1.88,67.8,Advanced,2,48.0
U0068,29,female,1.68,75.7,Beginner,4,15.6
U0069,24,female,1.87,55.0,Advanced,5,19.7
U0070,58, Male ,1.58,85.1,Intermediate,2,22.9
U0071,18,Female,1.63,96.7,Advanced,3,13.9
U0072,25,Female,1.59,60.6,Beginner,4,13.2
U0073,53,FEMALE,1.73,69.6,Advanced,4,19.1
U0074,55, Female ,1.7,98.9,intermediate,3,18.7
U0075,49,Female,1.75,68.3,Intermediate,2,27.9
U0076,18,Male,1.52,66.7,Advanced,4,23.1
U0077,41,Male,1.93,92.3,Intermediate,3,26.1
U0078,29,Female,1.87,81.7,Advanced,4,23.6
U0079,26,Female,1.7,80.0,Intermediate,4,19.8
U0080,19,Male,1.76,90.7,Advanced,3,10.0
U0081,37,Female,1.65,86.7,Intermediate,3,28.0
U0082,50,Male,1.73,62.0,Intermediate,3,
U0083,25,Male,1.84,71.4,Advanced,5,26.9
 U0084 ,58,male,1.8,,Advanced,5,18.9
U0085,36,Female,1.8,76.4,Beginner,5,8.1
U0086,56,Male,1.9,70.2,Beginner,5,19.5
 U0087 ,21,Male,1.68,58.9,Advanced,4,63.0
U0088,45,Male,1.8,90.5,Beginner,2,25.4
