user_id,date,exercise,sets,reps,weight_kg,session_duration_hr,calories_burned,avg_bpm,max_bpm,water_intake_l,workout_type,workout_difficulty
U1186,2024-01-25,cycling,,,,,198.0,156.0,176,1.07,Cardio,7 
U0316,2024-01-16,Bench Press,3.0,5.0,,0.56,235.0,90.0,112,0.73,STRENGTH,Level 4
U0614,2024-08-03,Cycling,,,,1.28,438.0,149.0,163,,Cardio,10 
 U0355 ,2024-10-26,Squat,4.0,5.0,,0.51,237.0,100.0,120,0.49,Strength,9.0
U0780,2024-07-02,Rowing,,,,0.83,235.0,153.0,177,0.52,Cardio,
U1027,2024-05-21,Squat,5.0,8.0,116.5,0.55,424.0,105.0,129,0.71,Strength,5 (easy)
U0154,2024-05-07,Cycling,,,,1.48,,135.0,151,0.99,CARDIO,4.0
U0422,2024-02-21,Squat,3.0,8.0,74.1,1.41,271.0,153.0,171,0.68,Strength,
U0355,2024-03-01,HIIT,,,,0.46,190.0,135.0,147,0.72, HIIT ,N/A
U0736,2024-02-14, Bench Press ,3.0,8.0,44.6,0.9,177.0,147.0,167,0.93,Strength,7
 U1088 ,2024-12-04,Running,,,,0.43,160.0,152.0,167,0.82,Cardio,N/A
U1012,2024-09-20,Deadlift,4.0,11.0,127.3,1.48,252.0,110.0,130,0.66,Strength,
U0852,2024-11-02,HIIT,,,,0.79,246.0,133.0,149,1.07,HIIT,4-10
U0097,2024-10-27,Yoga,,,,1.27,347.0,94.0,109,0.38,Mobility,4 
U0438,2024-08-23,Deadlift,3.0,10.0,73.1,0.95,305.0,154.0,164,0.9,Strength,4-10
U1013,2024-10-29,HIIT,,,,0.94,338.0,106.0,127,, HIIT ,6
U0435,2024-04-24,HIIT,,,,1.12,177.0,148.0,170,1.03,HIIT,N/A
U0899,2024-04-11,Squat,4.0,11.0,,0.56,341.0,159.0,180,0.45,strength,
U0743,2024-12-07,Bench Press,5.0,8.0,,1.2,417.0,122.0,142,0.45,Strength,7
U0110,2024-03-17,Deadlift,3.0,5.0,91.7,,533.0,,108,0.91,Strength,4/10
U0209,2024-12-11,HIIT,,,,1.1,547.0,,119,1.1,HIIT,3
U0828,2024-02-11,HIIT,,,,0.5,166.0,96.0,107,1.02,HIIT,5 
 U0692 ,2024-08-12,Cycling,,,,0.35,507.0,147.0,167,0.57,Cardio,7 (easy)
U0773,2024-10-18,Yoga,,,,0.64,212.0,127.0,137,0.5,Mobility,ten
U0520,2024-08-05,Bench Press,4.0,6.0,46.7,1.08,,103.0,119,0.82,Strength,8 
U1052,2024/09/26,Squat,5.0,10.0,84.1,,338.0,116.0,139,0.72,Strength, 5
U0373,2024-08-10,Deadlift,3.0,10.0,79.3,0.72,339.0,128.0,147,1.16,Strength, 3
U0359,2024-10-11,Bench Press,3.0,8.0,68.1,1.16,309.0,99.0,119,0.72,Strength,9 out of 10
U0271,2024-01-23,Rowing,,,,,482.0,129.0,153,0.66,CARDIO,N/A
U0707,2024-04-29,Running,,,,0.4,307.0,108.0,130,0.59,Cardio, 6
U0601,2024-03-23,Cycling,,,,0.74,394.0,147.0,160,0.42,Cardio,1 (easy)
U0682,2024-01-10,Squat,4.0,,110.7,0.45,259.0,130.0,150,0.68,Strength,7
U0269,2024-05-15,Running,,,,1.33,505.0,139.0,149,0.9,Cardio,10 
U0919,07-05-2024,Yoga,,,,1.05,382.0,116.0,132,0.82,Mobility, 4
U1182,2024-11-09,Yoga,,,,1.01,281.0,113.0,133,0.87, Mobility ,
U0527,2024-07-01,Yoga,,,,0.36,495.0,148.0,166,1.02,Mobility,five
U1109,2024-05-22,HIIT,,,,0.95,228.0,157.0,174,0.69,HIIT ,6
U0805,2024-11-15,Running,,,,1.25,492.0,141.0,164,1.1,Cardio,4/10
U0818,2024-10-04,Yoga,,,,0.93,162.0,157.0,180,0.36,MOBILITY,10 
U0538,2024-03-04,Deadlift,3.0,12.0,106.5,1.04,391.0,147.0,157,1.0,Strength,2
 U1194 ,2024-01-25,Rowing,,,,1.07,471.0,120.0,139,0.35,Cardio,4/10
U0344,2024-12-05,Running,,,,1.42,522.0,139.0,154,0.88,Cardio,2 
U0229,2024-12-01,Squat,5.0,9.0,85.6,1.45,,92.0,106,0.41,Strength,4.0
U0069,2024-09-02,ROW,,,,,315.0,144.0,164,0.51,Cardio,2-10
U0837,2024-05-17,Squat,5.0,8.0,112.3,1.15,217.0,141.0,164,0.36,Strength,
U1168,2024-10-13,Cycling,,,,0.38,228.0,104.0,116,0.47,Cardio,
U1055,2024-05-29,Rowing,,,,0.35,196.0,105.0,120,0.38,Cardio,5 out of 10
U0035,2024-03-14,Bench Press,5.0,9.0,126.7,1.46,272.0,109.0,132,0.82,strength,
U0348,2024-09-07,Rowing,,,,0.89,340.0,96.0,110,0.37,Cardio, 4
U1145,2024/01/25,HIIT,,,,1.27,368.0,135.0,150,,HIIT,9/10
U0772,2024-12-31,HIIT,,,,0.96,318.0,152.0,173,1.02,HIIT,N/A
 U0803 ,2024-03-04,Running,,,,0.98,203.0,143.0,167,0.51,Cardio,
 U0452 ,2024-05-29,Deadlift,4.0,11.0,43.2,1.38,598.0,127.0,152,0.36,Strength,9 out of 10
U0524,2024/03/11,Deadlift,3.0,5.0,129.8,0.67,548.0,157.0,170,0.67,Strength,Level 7
U0036,2024-07-24,Deadlift,4.0,10.0,101.8,0.91,364.0,107.0,126,0.85,Strength,Level 6
U0384,06/01/2024,Deadlift,5.0,6.0,40.6,0.66,221.0,153.0,165,0.44,Strength,2
U0574,2024-09-12,Deadlift,5.0,7.0,86.8,0.95,581.0,104.0,122,0.7,Strength,4
U0297,2024-11-10,deadlift,5.0,8.0,48.9,0.75,587.0,143.0,161,0.58,Str,10/10
U0143,2024-05-08,yoga,,,,0.55,452.0,144.0,167,0.32,Mobility,4 (easy)
U1095,2024-08-24, Rowing ,,,,0.73,508.0,134.0,153,,Cardio,4 
U0411,2024-09-11,Squat,4.0,7.0,91.2,1.2,287.0,137.0,156,0.96,Strength,
 U0512 ,2024-12-24,Bench Press,3.0,5.0,116.2,1.48,324.0,161.0,181,1.08,Strength,7 
U0536,2024-05-20,Rowing,,,,,562.0,152.0,176,0.62,Cardio,N/A
U0741,2024-01-26,Yoga,,,,1.04,409.0,144.0,166,1.17,Mobility,2/10
U0850,2024-05-29,Bench Press,5.0,,126.7,0.62,384.0,148.0,160,1.1,Strength,7
U0417,2024-01-27,Running,,,,0.94,216.0,138.0,162,0.94,Cardio,N/A
U0040,2024-09-04, Deadlift ,3.0,12.0,87.8,0.66,472.0,136.0,152,0.88,Str,2 
U0794,2024-05-22,Deadlift,4.0,10.0,,1.45,225.0,123.0,133,1.09,Strength,6 
U0089,2024-04-03,Deadlift,5.0,10.0,135.1,,433.0,120.0,143,0.64,Strength,N/A
U0738,02-27-2024,Bench Press,4.0,10.0,107.5,0.79,175.0,145.0,168,0.72, Strength ,7 
U0675,2024-01-13,Squat,3.0,12.0,97.1,0.93,593.0,95.0,108,0.69, Strength ,5 
U0381,2024-05-26,Cycling,,,,0.52,,136.0,148,0.7,Cardio,8
U0339,2024/06/17,HIIT,,,,,344.0,147.0,166,1.07,HIIT ,2/10
U0354,2024-10-03,Cycling,,,,1.46,238.0,110.0,134,1.03,Cardio,Level 8
U0973,2024-04-29,Rowing,,,,1.41,389.0,151.0,162,0.37,Cardio,5 out of 10
U0063,2024-08-15,Yoga,,,,0.61,488.0,99.0,121,0.56,Mobility,
U0048,2024-08-22,Jogging,,,,0.64,263.0,150.0,163,1.17,Cardio,
U0706,2024-02-14,Running,,,,1.29,287.0,151.0,175,,Cardio, 8
U0905,2024-09-20,Yoga,,,,1.28,562.0,162.0,176,0.31,Mobility,9 (hard)
U0161,2024-09-15,Yoga,,,,0.84,488.0,101.0,124,1.07,Mobility,N/A
U0041,2024-03-02,Yoga,,,,1.33,333.0,120.0,142,0.84,Mobility,5.0
U0971,2024-09-25,HIIT,,,,0.96,228.0,,112,,HIIT,2 
U0330,2024-01-29,Bench Press,4.0,12.0,118.1,1.01,284.0,154.0,167,1.12,Str,N/A
U0328,2024-06-27,running,,,,1.36,155.0,150.0,165,0.52,Cardio,
U0851,2024-01-27,Bench Press,3.0,11.0,74.7,1.03,401.0,142.0,157,0.75,STRENGTH,6
U1010,2024-04-08,Rowing,,,,1.17,168.0,133.0,151,0.37,Cardio,2
U0410,2024-04-04,Yoga,,,,0.48,434.0,,121,0.35,Mobility,9-10
U0513,2024-11-26, Deadlift ,4.0,11.0,54.2,0.38,509.0,94.0,115,0.32,Strength,
U1173,2024/02/06,Bench Press,3.0,5.0,74.6,0.87,396.0,126.0,147,0.37, Str , 1
U1048,2024-02-01,Deadlift,5.0,11.0,76.1,0.9,163.0,155.0,176,0.98,Strength,6/10
U0060,2024-04-23,Squat,4.0,10.0,43.6,0.55,154.0,138.0,154,0.68,Strength,Level 3
U0325,2024-03-24,deadlift,4.0,11.0,108.2,1.19,460.0,162.0,172,0.96,Strength,9
U0750,2024-12-24, Bench Press ,4.0,12.0,136.0,0.71,295.0,103.0,121,0.4,Strength,Level 8
U0365,2024/09/21,Rowing,,,,,321.0,164.0,180,0.62, Cardio ,1 
U1123,2024-10-18,Running,,,,0.98,363.0,156.0,176,0.55,Cardio,9-10
U0812,2024-05-06, HIIT ,,,,0.9,196.0,104.0,123,0.93,hiit,3.0
U0999,2024-10-09,Rowing,,,,1.26,329.0,137.0,153,0.82,CARDIO,2.0
 U0323 ,2024-08-21,HIIT,,,,0.98,242.0,105.0,119,1.03,HIIT,8/10
U0528,2024-04-19,Deadlift,5.0,10.0,40.5,0.48,398.0,98.0,116,,Strength,N/A
U0563,04-17-2024,Yoga,,,,0.49,209.0,98.0,110,,Mobility,N/A
U0276,2024-12-25,Yoga,,,,1.31,283.0,146.0,171,0.98,Mobility,
U1064,2024-08-31,Deadlift,5.0,12.0,,1.43,348.0,136.0,153,0.87,Strength,N/A
U0073,2024-11-09,HIIT,,,,0.31,198.0,134.0,156,1.09,HIIT,7 out of 10
U0323,2024-04-07,Squat,4.0,6.0,134.8,0.79,490.0,160.0,178,,Str,2.0
U0338,2024-01-24,Yoga,,,,0.72,544.0,132.0,156,0.47,Mobility,7/10
U0559,2024-06-18,HIIT,,,,0.98,393.0,111.0,121,0.41,HIIT,1 
U0366,2024-09-25,Squat,5.0,9.0,49.2,0.67,427.0,91.0,113,1.0,Strength,2.0
U1032,2024-06-27,Running,,,,0.95,213.0,119.0,129,0.61,Endurance,3
U0518,2024-03-18,Squat,5.0,7.0,126.6,1.31,238.0,138.0,148,0.61,Strength,
U0941,2024-08-27,Yoga,,,,1.45,282.0,136.0,159,0.66,Mobility,1 (easy)
U0834,2024-08-02,Squat,5.0,5.0,81.6,1.08,229.0,142.0,152,0.6, Strength ,9
U0765,2024-08-18,HIIT,,,,1.37,497.0,118.0,136,0.46,HIIT,10 
U1194,2024-09-18,Squat,3.0,7.0,44.4,1.45,161.0,136.0,148,0.7,strength,7-10
U0017,2024-08-30,HIIT,,,,0.63,254.0,137.0,159,1.11,HIIT,N/A
 U0387 ,2024-02-07,Cycling,,,,1.21,214.0,101.0,126,0.5,Cardio,6
